ident;iso_country;iata_code
MNBL;NI;BEF
LYBE;RS;BEG
KBEH;US;BEH
HABE;ET;BEI
WALK;ID;BEJ
VIBY;IN;BEK
SBBE;BR;BEL
GMMD;MA;BEM
HLLB;LY;BEN
YPEC;AU;BEO
VOBI;IN;BEP
EGXH;GB;BEQ
LFRB;FR;BES
PABE;US;BET
YBIE;AU;BEU
LLBS;IL;BEV
FQBR;MZ;BEW
EGUB;GB;BEX
OLBA;LB;BEY
NGBR;KI;BEZ
PY-BFA;PY;BFA
YBMD;AU;BFC
KBFD;US;BFD
EDLI;DE;BFE
KBFF;US;BFF
KU07;US;BFG
SBBI;BR;BFH
KBFI;US;BFI
ZUBJ;CN;BFJ
KBKF;US;BFK
KBFL;US;BFL
KBFM;US;BFM
FABL;ZA;BFN
FVCZ;ZW;BFO
KBVI;US;BFP
PA-BFQ;PA;BFQ
KBFR;US;BFR
EGAA;GB;BFS
KARW;US;BFT
ZSBB;CN;BFU
VTUO;TH;BFV
DAOS;DZ;BFW
FKKU;CM;BFX
SKBG;CO;BGA
FOGB;GA;BGB
LPBG;PT;BGC
KBGD;US;BGD
KBGE;US;BGE
FEFF;CF;BGF
TR-0017;TR;BGG
GQNE;MR;BGH
TBPB;BB;BGI
BIBF;IS;BGJ
BZ-BGK;BZ;BGK
VNBL;NP;BGL
KBGM;US;BGM
UESG;RU;BGN
ENBR;NO;BGO
BGP;GA;BGP
PAGQ;US;BGQ
KBGR;US;BGR
KE51;US;BGT
FEFG;CF;BGU
SSBG;BR;BGV
ORBI;IQ;BGW
SBBG;BR;BGX
LIME;IT;BGY
LPBR;PT;BGZ
SESV;EC;BHA
KBHB;US;BHB
PK-BHC;PK;BHC
EGAC;GB;BHD
NZWB;NZ;BHE
SK-189;CO;BHF
MHBL;HN;BHG
OEBH;SA;BHH
SAZB;AR;BHI
VABJ;IN;BHJ
UTSB;UZ;BHK
BHL;MX;BHL
KBHM;US;BHM
OYBN;YE;BHN
VABP;IN;BHO
VNBJ;NP;BHP
YBHI;AU;BHQ
VNBP;NP;BHR
YBTH;AU;BHS
BHT;AU;BHT
VABV;IN;BHU
OPBW;PK;BHV
OPBG;PK;BHW
EGBB;GB;BHX
ZGBH;CN;BHY
LFKB;FR;BIA
HCMB;SO;BIB
KBID;US;BID
KBIE;US;BIE
KBIF;US;BIF
PABI;US;BIG
KBIH;US;BIH
MH-BII;MH;BII
WABB;ID;BIK
KBIL;US;BIL
MYBS;BS;BIM
OABN;AF;BIN
LEBB;ES;BIO
YBWM;AU;BIP
LFBZ;FR;BIQ
VNVT;NP;BIR
KBIS;US;BIS
VNBT;NP;BIT
BIBD;IS;BIU
FEFR;CF;BIV
YBIL;AU;BIW
KBIX;US;BIX
FABE;ZA;BIY
DAAE;DZ;BJA
OIMN;IR;BJB
KBJC;US;BJC
BIBK;IS;BJD
BJE;SD;BJE
ENBS;NO;BJF
ID-BJG;ID;BJG
VNBG;NP;BJH
KBJI;US;BJI
KBJJ;US;BJJ
WAPK;ID;BJK
GBYD;GM;BJL
HBBA;BI;BJM
SLBJ;BO;BJO
SBBP;BR;BJP
BJQ;OM;BJQ
HABD;ET;BJR
BJT;LK;BJT
VNBR;NP;BJU
LTFE;TR;BJV
WATB;ID;BJW
MMLO;MX;BJX
LYBT;RS;BJY
LEBZ;ES;BJZ
VIBK;IN;BKB
PABL;US;BKC
KBKD;US;BKD
KBKE;US;BKE
5Z9;US;BKF
BBG;US;BKG
PHBK;US;BKH
WBKK;MY;BKI
GUOK;GN;BKJ
VTBS;TH;BKK
KBKL;US;BKL
WBGQ;MY;BKM
UT1H;TM;BKN
GABS;ML;BKO
YBAW;AU;BKP
YBCK;AU;BKQ
FTTK;TD;BKR
WIPL;ID;BKS
KBKT;US;BKT
FMSV;MG;BKU
KBKW;US;BKW
KBKX;US;BKX
FZMA;CD;BKY
HTBU;TZ;BKZ
SVBC;VE;BLA
MPHO;PA;BLB
FKKG;CM;BLC
K61B;US;BLD
ESSD;SE;BLE
KBLF;US;BLF
WBGC;MY;BLG
KBLH;US;BLH
KBLI;US;BLI
DABT;DZ;BLJ
EGNH;GB;BLK
EKBI;DK;BLL
KBLM;US;BLM
YBLA;AU;BLN
BIBL;IS;BLO
SPBL;PE;BLP
LIPE;IT;BLQ
VOBL;IN;BLR
YBLL;AU;BLS
YBTR;AU;BLT
KBLU;US;BLU
KBLV;US;BLV
HCMN;SO;BLW
LIDB;IT;BLX
EIBT;IE;BLY
FWCL;MW;BLZ
ESSB;SE;BMA
FZFU;CD;BMB
KBMC;US;BMC
FMML;MG;BMD
YBRM;AU;BME
FEGM;CF;BMF
KBMG;US;BMG
BMH;PG;BMH
KBMI;US;BMI
SYBR;GY;BMJ
EDWR;DE;BMK
KBML;US;BML
FOOB;GA;BMM
ORBB;IQ;BMN
VYBM;MM;BMO
YBPI;AU;BMP
BMQ;KE;BMQ
EDWZ;DE;BMR
SNBU;BR;BMS
KBMT;US;BMT
WADB;ID;BMU
VVBM;VN;BMV
DATM;DZ;BMW
PABM;US;BMX
NWWC;NC;BMY
BMZ;PG;BMZ
KBNA;US;BNA
FZGN;CD;BNB
FZNP;CD;BNC
OIKB;IR;BND
YBBN;AU;BNE
BNF;US;BNF
KBNG;US;BNG
US-0370;US;BNH
DNBE;NG;BNI
EDKB;DE;BNJ
YBNA;AU;BNK
KBNL;US;BNL
BNM;PG;BNM
ENBN;NO;BNN
KBNO;US;BNO
OPBN;PK;BNP
DFOB;BF;BNR
SVBI;VE;BNS
BNT;PG;BNT
SSBL;BR;BNU
KBNW;US;BNW
LQBK;BA;BNX
AGGB;SB;BNY
FZAJ;CD;BOA
NTTB;PF;BOB
MPBO;PA;BOC
LFBD;FR;BOD
FCOB;CG;BOE
SKBO;CO;BOG
EGHH;GB;BOH
KBOI;US;BOI
LBBG;BG;BOJ
BOK;US;BOK
VABB;IN;BOM
TNCB;BQ;BON
ENBO;NO;BOO
FEFO;CF;BOP
KBOS;US;BOS
BOT;PG;BOT
LFLD;FR;BOU
BOV;PG;BOV
KBOW;US;BOW
YBRL;AU;BOX
DFOO;BF;BOY
FEGZ;CF;BOZ
FKKV;CM;BPC
PG-0020;PG;BPD
ZBDH;CN;BPE
BPF;SB;BPF
SBBW;BR;BPG
RPMF;PH;BPH
KBPI;US;BPI
PG-0022;PG;BPK
ZWAX;CN;BPL
VOHY;IN;BPM
WALL;ID;BPN
SBPS;BR;BPS
KBPT;US;BPT
ZUBD;CN;BPX
FMNQ;MG;BPY
RPUR;PH;BQA
YBLN;AU;BQB
BIBR;IS;BQD
GGBU;GW;BQE
UHNB;RU;BQG
EGKB;GB;BQH
NA-0012;NA;BQI
UEBB;RU;BQJ
KBQK;US;BQK
YBOU;AU;BQL
TJBQ;PR;BQN
DIBN;CI;BQO
SNBX;BR;BQQ
UHBB;RU;BQS
UMBB;BY;BQT
TVSB;VC;BQU
BQV;US;BQV
YBGO;AU;BQW
SNBR;BR;BRA
SBRR;BR;BRB
SAZS;AR;BRC
KBRD;US;BRD
EDDW;DE;BRE
LIBD;IT;BRI
YBKE;AU;BRK
KBRL;US;BRL
SVBM;VE;BRM
LSZB;CH;BRN
KBRO;US;BRO
AYBR;PG;BRP
LKTB;CZ;BRQ
EGPR;GB;BRR
EGGD;GB;BRS
YBTI;AU;BRT
EBBR;BE;BRU
PABR;US;BRW
MDBH;DO;BRX
KBRY;US;BRY
HCMF;SO;BSA
SBBR;BR;BSB
SKBS;CO;BSC
CN-0027;CN;BSD
WBGN;MY;BSE
PHSF;US;BSF
FGBT;GQ;BSG
RPBL;PH;BSI
YBNS;AU;BSJ
DAUB;DZ;BSK
LFSB;FR;BSL
OINJ;IR;BSM
FEFS;CF;BSN
RPUO;PH;BSO
BSP;PG;BSP
KP04;US;BSQ
ORMM;IQ;BSR
SNBS;BR;BSS
OABT;AF;BST
FZEN;CD;BSU
BSV;MG;BSV
AK97;US;BSW
VYPN;MM;BSX
HCMD;SO;BSY
AK96;US;BSZ
FKKO;CM;BTA
FCOT;CG;BTB
VCCB;LK;BTC
YBRU;AU;BTD
GFBN;SL;BTE
KBTF;US;BTF
FEGF;CF;BTG
WIDD;ID;BTH
PABA;US;BTI
WITT;ID;BTJ
UIBB;RU;BTK
KBTL;US;BTL
KBTM;US;BTM
KBBP;US;BTN
GY-BTO;SR;BTO
KBTP;US;BTP
HRYI;RW;BTQ
KBTR;US;BTR
LZIB;SK;BTS
PABT;US;BTT
WBGB;MY;BTU
KBTV;US;BTV
WAOC;ID;BTW
YBEO;AU;BTX
KBTY;US;BTY
LTBE;TR;BTZ
AYBK;PG;BUA
KBUB;US;BUB
YBKT;AU;BUC
LHBP;HU;BUD
KBUF;US;BUF
FNBG;AO;BUG
WAJB;ID;BUI
DAAD;DZ;BUJ
OYBQ;YE;BUK
BUL;PG;BUL
KBUM;US;BUM
SKBU;CO;BUN
HCMV;SO;BUO
VIBT;IN;BUP
FVBU;ZW;BUQ
KBUR;US;BUR
UGSB;GE;BUS
VQBT;BT;BUT
WIPI;ID;BUU
SUBU;UY;BUV
